,name,Length Of Movie (minute),year,idbm_year,gender_director,director_1,writer_1,writer_2,writer_3,star_1,star_2,star_3,genre_1,genre_2,genre_3,rating
0,Adam at Six A.M.,100.0,1970,1970,1,Robert Scheerer,Stephen Karpf,Elinor Karpf,,Michael Douglas,Lee Purcell,Joe Don Baker,Drama,,,5.7
1,Adam's Woman,116.0,1970,1970,1,Philip Leacock,Richard Fielder,Lowell Barrington,,Beau Bridges,John Mills,Jane Merrow,Drama,,,6.3
2,The Adventurers,171.0,1970,1970,1,Lewis Gilbert,Michael Hastings,Lewis Gilbert,Harold Robbins,Charles Aznavour,Alan Badel,Candice Bergen,Action,Adventure,Drama,5.4
3,Airport,137.0,1970,1970,1,George Seaton,Arthur Hailey,George Seaton,,Burt Lancaster,Dean Martin,George Kennedy,Action,Drama,Thriller,6.6
4,Alex in Wonderland,110.0,1970,1970,1,Paul Mazursky,Paul Mazursky,Larry Tucker,,Donald Sutherland,Ellen Burstyn,Meg Mazursky,Comedy,Drama,,5.4
5,The Angel Levine,104.0,1970,1970,1,Ján Kadár,Bill Gunn,Ronald Ribman,Bernard Malamud,Zero Mostel,Harry Belafonte,Ida Kaminska,Drama,,,6.0
6,Angel Unchained,86.0,1970,1970,1,Lee Madden,Jeffrey Alan Fiskin,Lee Madden,,Don Stroud,Luke Askew,Larry Bishop,Action,Thriller,Drama,5.1
7,The Aristocats,78.0,1970,1970,1,Wolfgang Reitherman,Larry Clemmons,Vance Gerry,Ken Anderson,Phil Harris,Eva Gabor,Sterling Holloway,Animation,Adventure,Comedy,7.1
8,The Baby Maker,109.0,1970,1970,1,James Bridges,James Bridges,,,Barbara Hershey,Collin Wilcox Paxton,Sam Groom,Drama,,,6.0
9,The Ballad of Cable Hogue,121.0,1970,1970,1,Sam Peckinpah,John Crawford,Edmund Penney,Gordon T. Dawson,Jason Robards,Stella Stevens,David Warner,Comedy,Drama,Romance,7.3
